section,item,row,column,value,note
prediction,RoBERTa,,prob_fake,0.40561041235923767,pred_fake=0
prediction,w/o MVCM,,prob_fake,0.4408596158027649,pred_fake=0
prediction,MVCT,,prob_fake,0.6207739114761353,pred_fake=1
fusion_weight,semantic,,weight,0.5627272129058838,active three-channel model
fusion_weight,logical,,weight,0.24569830298423767,active three-channel model
fusion_weight,local,,weight,0.19157449901103973,active three-channel model
matrix,semantic,Title,Title,1.0,raw extracted value
matrix,semantic,Title,Description,0.8478545546531677,raw extracted value
matrix,semantic,Title,Body,0.6678328514099121,raw extracted value
matrix,semantic,Description,Title,0.8478545546531677,raw extracted value
matrix,semantic,Description,Description,1.0,raw extracted value
matrix,semantic,Description,Body,0.6924850940704346,raw extracted value
matrix,semantic,Body,Title,0.6678328514099121,raw extracted value
matrix,semantic,Body,Description,0.6924850940704346,raw extracted value
matrix,semantic,Body,Body,1.0,raw extracted value
matrix,logical,Title,Title,1.0,raw extracted value
matrix,logical,Title,Description,0.5,raw extracted value
matrix,logical,Title,Body,0.5,raw extracted value
matrix,logical,Description,Title,0.5,raw extracted value
matrix,logical,Description,Description,1.0,raw extracted value
matrix,logical,Description,Body,0.8956446051597595,raw extracted value
matrix,logical,Body,Title,0.5,raw extracted value
matrix,logical,Body,Description,0.8956446051597595,raw extracted value
matrix,logical,Body,Body,1.0,raw extracted value
matrix,local,Title,Title,1.0,raw extracted value
matrix,local,Title,Description,0.7159399390220642,raw extracted value
matrix,local,Title,Body,0.6678327918052673,raw extracted value
matrix,local,Description,Title,0.7159399390220642,raw extracted value
matrix,local,Description,Description,1.0,raw extracted value
matrix,local,Description,Body,0.6912896037101746,raw extracted value
matrix,local,Body,Title,0.6678327918052673,raw extracted value
matrix,local,Body,Description,0.6912896037101746,raw extracted value
matrix,local,Body,Body,1.0,raw extracted value
matrix,fused_signed_view_bias,Title,Title,1.0,raw extracted value
matrix,fused_signed_view_bias,Title,Description,0.47423163056373596,raw extracted value
matrix,fused_signed_view_bias,Title,Body,0.253193199634552,raw extracted value
matrix,fused_signed_view_bias,Description,Title,0.47423163056373596,raw extracted value
matrix,fused_signed_view_bias,Description,Description,1.0,raw extracted value
matrix,fused_signed_view_bias,Description,Body,0.4843440651893616,raw extracted value
matrix,fused_signed_view_bias,Body,Title,0.253193199634552,raw extracted value
matrix,fused_signed_view_bias,Body,Description,0.4843440651893616,raw extracted value
matrix,fused_signed_view_bias,Body,Body,1.0,raw extracted value
